date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:36	37123/37123	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2021:40:35%20GMT	https://successbyheart.com/	www.successbyheart.com/successbyheart.com/index.html	(from )
15:40:36	327/327	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2021:40:36%20GMT	http://successbyheart.com//wp-content/uploads/2010/03/covered-globe-gray-marble-background--resized-image-16x16.jpg	www.successbyheart.com/successbyheart.com/wp-content/uploads/2010/03/covered-globe-gray-marble-background--resized-image-16x16.0.delayed	(from https://successbyheart.com/)
15:40:37	835/835	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Mar%202010%2001:27:27%20GMT	https://www.successbyheart.com/wp-content/uploads/2010/03/covered-globe-gray-marble-background--resized-image-16x16.jpg	www.successbyheart.com/www.successbyheart.com/wp-content/uploads/2010/03/covered-globe-gray-marble-background--resized-image-16x16.jpg	(from https://successbyheart.com/)
15:40:38	1571/1571	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Oct%202014%2000:56:54%20GMT	https://successbyheart.com/wp-content/themes/FlexxCandyApple_RI/style.css	www.successbyheart.com/successbyheart.com/wp-content/themes/FlexxCandyApple_RI/style.css	(from https://successbyheart.com/)
15:40:39	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2025%20Mar%202024%2021:40:39%20GMT	https://successbyheart.com/xmlrpc.php	www.successbyheart.com/successbyheart.com/xmlrpc.php	(from https://successbyheart.com/)
15:40:40	294/294	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2021:40:40%20GMT	http://successbyheart.com/wp-content/plugins/sociable/css/sociable.css?ver=4.6.28	www.successbyheart.com/successbyheart.com/wp-content/plugins/sociable/css/sociablee5b9.css	(from https://successbyheart.com/)
15:40:40	11879/11879	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2028%20Sep%202019%2016:38:21%20GMT	https://successbyheart.com/feed/	www.successbyheart.com/successbyheart.com/feed/index.html	(from https://successbyheart.com/)
15:40:41	5949/5949	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Oct%202013%2012:29:22%20GMT	https://www.successbyheart.com/wp-content/plugins/sociable/css/sociable.css?ver=4.6.28	www.successbyheart.com/www.successbyheart.com/wp-content/plugins/sociable/css/sociablee5b9.css	(from https://successbyheart.com/)
15:40:42	33967/33967	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2021:40:42%20GMT	https://successbyheart.com/page/2/	www.successbyheart.com/successbyheart.com/page/2/index.html	(from https://successbyheart.com/)
15:40:42	18368/18368	---M--	200	added ('OK')	text/css	date:Sat,%2029%20Mar%202014%2003:37:56%20GMT	https://successbyheart.com/wp-content/plugins/WPRecommendation/include/box.css?ver=4.6.28	www.successbyheart.com/successbyheart.com/wp-content/plugins/WPRecommendation/include/boxe5b9.css	(from https://successbyheart.com/)
15:40:44	319/319	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2021:40:43%20GMT	http://successbyheart.com/wp-content/themes/FlexxCandyApple/lib/feedburner-widget/css/style.css?ver=4.6.28	www.successbyheart.com/successbyheart.com/wp-content/themes/FlexxCandyApple/lib/feedburner-widget/css/stylee5b9.css	(from https://successbyheart.com/)
15:40:44	2288/2288	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Nov%202014%2003:13:52%20GMT	https://www.successbyheart.com/wp-content/themes/FlexxCandyApple/lib/feedburner-widget/css/style.css?ver=4.6.28	www.successbyheart.com/www.successbyheart.com/wp-content/themes/FlexxCandyApple/lib/feedburner-widget/css/stylee5b9.css	(from https://successbyheart.com/)
15:40:46	96874/96874	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2011:24:00%20GMT	https://successbyheart.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	www.successbyheart.com/successbyheart.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://successbyheart.com/)
15:40:46	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Sep%202016%2005:22:37%20GMT	https://successbyheart.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	www.successbyheart.com/successbyheart.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://successbyheart.com/)
15:40:48	292/292	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2021:40:47%20GMT	http://successbyheart.com/wp-content/plugins/sociable/js/sociable.js?ver=4.6.28	www.successbyheart.com/successbyheart.com/wp-content/plugins/sociable/js/sociablee5b9.js	(from https://successbyheart.com/)
15:40:48	1959/1959	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Oct%202013%2012:29:22%20GMT	https://www.successbyheart.com/wp-content/plugins/sociable/js/sociable.js?ver=4.6.28	www.successbyheart.com/www.successbyheart.com/wp-content/plugins/sociable/js/sociablee5b9.js	(from https://successbyheart.com/)
15:40:49	290/290	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2021:40:49%20GMT	http://successbyheart.com/wp-content/plugins/sociable/js/vuible.js?ver=4.6.28	www.successbyheart.com/successbyheart.com/wp-content/plugins/sociable/js/vuiblee5b9.js	(from https://successbyheart.com/)
15:40:50	370/370	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Oct%202013%2012:29:22%20GMT	https://www.successbyheart.com/wp-content/plugins/sociable/js/vuible.js?ver=4.6.28	www.successbyheart.com/www.successbyheart.com/wp-content/plugins/sociable/js/vuiblee5b9.js	(from https://successbyheart.com/)
15:40:51	298/298	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2021:40:51%20GMT	http://successbyheart.com/wp-content/plugins/sociable/js/addtofavorites.js?ver=4.6.28	www.successbyheart.com/successbyheart.com/wp-content/plugins/sociable/js/addtofavoritese5b9.js	(from https://successbyheart.com/)
15:40:52	602/602	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Oct%202013%2012:29:22%20GMT	https://www.successbyheart.com/wp-content/plugins/sociable/js/addtofavorites.js?ver=4.6.28	www.successbyheart.com/www.successbyheart.com/wp-content/plugins/sociable/js/addtofavoritese5b9.js	(from https://successbyheart.com/)
15:40:53	317/317	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2021:40:53%20GMT	http://successbyheart.com/wp-content/themes/FlexxCandyApple/lib/contact-page-plugin/js/md5.js?ver=4.6.28	www.successbyheart.com/successbyheart.com/wp-content/themes/FlexxCandyApple/lib/contact-page-plugin/js/md5e5b9.js	(from https://successbyheart.com/)
